op     width   nybbler  baseline    ratio
and    i1           5         5     1.0x
and    i2           5         5     1.0x
and    i4           5         5     1.0x
or     i1           5         5     1.0x
or     i2           5         5     1.0x
or     i4           5         5     1.0x
xor    i1           5         5     1.0x
xor    i2           5         5     1.0x
xor    i4           5         5     1.0x
add    i1           5         5     1.0x
add    i2          12       756    63.0x
add    i4          12       376    31.3x
sub    i1           5         5     1.0x
sub    i2          13       756    58.2x
sub    i4          13       376    28.9x
shl    i1           4         4     1.0x
shl    i2          12       774    64.5x
shl    i4          30       388    12.9x
lshr   i1           4         4     1.0x
lshr   i2          12       773    64.4x
lshr   i4          30       389    13.0x
ashr   i1           4         4     1.0x
ashr   i2          26       773    29.7x
ashr   i4          61       406     6.7x
eq     i1           7       536    76.6x
eq     i2          12       761    63.4x
eq     i4          18       379    21.1x
ne     i1           5         5     1.0x
ne     i2          10       764    76.4x
ne     i4          16       381    23.8x
ult    i1           5         5     1.0x
ult    i2          16       761    47.6x
ult    i4          19       379    19.9x
slt    i1           5         5     1.0x
slt    i2          17       719    42.3x
slt    i4          20       385    19.2x
TOTAL             438     10914    24.9x
CODEGEN OK (36 kernels: SIMD emitted, no scalarization, masks folded)
